commodity,year,month_number,month,year_month,avg_min_price,avg_max_price,avg_modal_price,lowest_modal_price,highest_modal_price,market_entries
Onion,2023,6,June,2023-06,1238.39,1609.76,1427.5,12.0,11800.0,10838
Onion,2023,7,July,2023-07,1440.32,1885.28,1673.94,100.0,15000.0,12939
Onion,2023,8,August,2023-08,1783.38,2298.3,2064.64,30.0,19540.0,12711
Onion,2023,9,September,2023-09,2008.77,2519.53,2283.75,28.0,24000.0,12166
Onion,2023,10,October,2023-10,2393.22,3092.48,2781.91,20.0,51000.0,12406
Onion,2023,11,November,2023-11,3615.03,4488.07,4105.33,50.0,460000.0,11524
Onion,2023,12,December,2023-12,2766.6,3460.22,3147.33,47.0,350000.0,12391
Onion,2024,1,January,2024-01,1951.51,2441.1,2204.49,100.0,62000.0,12057
Onion,2024,2,February,2024-02,1592.69,2035.82,1816.36,15.0,240000.0,11698
Onion,2024,3,March,2024-03,1668.0,2123.94,1932.35,15.0,40340.0,12017
Onion,2024,4,April,2024-04,1658.23,2068.86,1879.12,8.0,20840.0,10916
Onion,2024,5,May,2024-05,1618.07,2094.1,1871.04,15.0,21480.0,13200
Onion,2024,6,June,2024-06,1689.28,2217.61,1989.97,290.0,20840.0,2517
Onion,2024,7,July,2024-07,2941.38,3526.35,3324.53,30.0,26040.0,13705
Onion,2024,8,August,2024-08,3270.62,3900.71,3694.4,200.0,35780.0,16005
Onion,2024,9,September,2024-09,3894.73,4707.03,4442.82,10.0,55800.0,15950
Onion,2024,10,October,2024-10,3959.73,4848.76,4558.93,20.0,40340.0,16181
Onion,2024,11,November,2024-11,4114.44,5161.33,4802.14,15.0,58540.0,15313
Onion,2024,12,December,2024-12,3883.5,5068.1,4566.93,550.0,55280.0,3038
Onion,2025,2,February,2025-02,2704.01,3291.16,3092.27,451.0,300000.0,13293
Onion,2025,3,March,2025-03,2354.35,2858.42,2682.5,100.0,52040.0,16848
Onion,2025,4,April,2025-04,1679.5,2093.33,1939.81,8.0,52040.0,16971
Onion,2025,5,May,2025-05,1465.99,1861.85,1708.33,50.0,9400.0,17820
Onion,2025,6,June,2025-06,1504.47,1930.46,1761.85,50.0,9000.0,5892
Potato,2023,6,June,2023-06,1188.89,1447.8,1317.58,150.0,38000.0,10269
Potato,2023,7,July,2023-07,1305.15,1579.09,1440.15,180.0,58009.0,12434
Potato,2023,8,August,2023-08,1344.43,1636.55,1489.08,16.0,58000.0,12177
Potato,2023,9,September,2023-09,1304.85,1610.52,1454.47,22.0,58000.0,11982
Potato,2023,10,October,2023-10,1261.64,1582.52,1420.36,13.0,43000.0,11942
