arrival_date,state,district,market,commodity,variety,min_price,max_price,modal_price,rolling_30d_avg,price_deviation_pct,price_z_score
2023-11-09,Bihar,Jehanabad,Jehanabad,Onion,White,420000.0,480000.0,460000.0,32125.0,1331.91,196.1309
2023-12-19,Bihar,Jehanabad,Jehanabad,Onion,White,350000.0,400000.0,350000.0,18232.0,1819.7,148.9447
2025-02-21,Bihar,Jehanabad,Jehanabad,Onion,White,250000.0,300000.0,300000.0,52475.0,471.7,127.4964
2025-02-18,Bihar,Jehanabad,Jehanabad,Onion,White,280000.0,300000.0,300000.0,29972.73,900.91,127.4964
2024-02-23,Bihar,Jehanabad,Jehanabad,Onion,White,240000.0,240000.0,240000.0,11223.08,2038.45,101.7585
2023-07-01,"Madhya Pradesh",Katni,Katni(F&V),Tomato,Deshi,140000.0,150000.0,150000.0,150000.0,0.0,40.5023
2023-07-15,Meghalaya,"East Khasi Hills",Sohra,Potato,Other,50000.0,60000.0,58009.0,44003.0,31.83,34.9842
2023-09-18,Meghalaya,"East Khasi Hills",Sohra,Potato,Other,46000.0,60000.0,58000.0,53500.0,8.41,34.9786
2023-09-02,Meghalaya,"East Khasi Hills",Sohra,Potato,Other,56000.0,60000.0,58000.0,58000.0,0.0,34.9786
2023-08-25,Meghalaya,"East Khasi Hills",Sohra,Potato,Other,56000.0,60000.0,58000.0,53000.0,9.43,34.9786
2023-08-09,Meghalaya,"East Khasi Hills",Sohra,Potato,Other,56000.0,60000.0,58000.0,54252.25,6.91,34.9786
2023-07-24,Meghalaya,"East Khasi Hills",Sohra,Potato,Other,56000.0,60000.0,58000.0,51336.33,12.98,34.9786
2025-03-12,"Tamil Nadu",Karur,"Karur(Uzhavar Sandhai )",Potato,"(Red Nanital)",4000.0,45400.0,45400.0,6168.97,635.94,27.1053
2023-12-27,Bihar,Patna,"Patna (Musallahpur)",Onion,Medium,60000.0,68000.0,64000.0,48600.0,31.69,26.2606
2023-10-12,Meghalaya,"East Khasi Hills",Sohra,Potato,Other,41000.0,45000.0,43000.0,43000.0,0.0,25.6056
2023-08-01,Meghalaya,"East Khasi Hills",Sohra,Potato,Other,41000.0,45000.0,43000.0,53003.0,18.87,25.6056
2024-01-03,Bihar,Patna,"Patna (Musallahpur)",Onion,Medium,60000.0,64000.0,62000.0,50500.0,22.77,25.4026
2024-01-07,Bihar,Patna,"Patna (Musallahpur)",Onion,Medium,58000.0,62000.0,60000.0,50214.29,19.49,24.5447
2024-11-20,Kerala,Thiruvananthapuram,Pothencode,Onion,Other,58500.0,58580.0,58540.0,40373.04,45.0,23.9184
2024-11-16,Kerala,Thiruvananthapuram,Pothencode,Onion,Other,58500.0,58580.0,58540.0,36983.33,58.29,23.9184
2024-11-13,Kerala,Thiruvananthapuram,Pothencode,Onion,Other,58500.0,58580.0,58540.0,34964.8,67.43,23.9184
2023-09-11,Meghalaya,"East Khasi Hills",Sohra,Potato,Other,38000.0,42000.0,40000.0,52000.0,23.08,23.731
2024-01-12,Bihar,Patna,"Patna (Musallahpur)",Onion,Medium,56000.0,60000.0,58000.0,50473.68,14.91,23.6868
2024-01-11,Bihar,Patna,"Patna (Musallahpur)",Onion,Medium,56000.0,60000.0,58000.0,50055.56,15.87,23.6868
2024-01-02,Bihar,Patna,"Patna (Musallahpur)",Onion,Medium,56000.0,60000.0,58000.0,49222.22,17.83,23.6868
2023-11-14,Bihar,Patna,"Patna (Musallahpur)",Onion,Medium,56000.0,60000.0,58000.0,51000.0,13.73,23.6868
2024-11-02,Kerala,Thiruvananthapuram,Pothencode,Potato,Other,39000.0,39080.0,39040.0,28846.92,35.34,23.1311
2024-10-30,Kerala,Thiruvananthapuram,Pothencode,Potato,Other,39000.0,39080.0,39040.0,28298.46,37.96,23.1311
2024-10-26,Kerala,Thiruvananthapuram,Pothencode,Potato,Other,39000.0,39080.0,39040.0,27705.19,40.91,23.1311
2024-10-23,Kerala,Thiruvananthapuram,Pothencode,Potato,Other,39000.0,39080.0,39040.0,27269.63,43.16,23.1311
2024-01-15,Bihar,Patna,"Patna (Musallahpur)",Onion,Medium,54000.0,58000.0,56000.0,51350.0,9.06,22.8289
2024-01-08,Bihar,Patna,"Patna (Musallahpur)",Onion,Medium,54000.0,58000.0,56000.0,50600.0,10.67,22.8289
2024-01-04,Bihar,Patna,"Patna (Musallahpur)",Onion,Medium,52000.0,60000.0,56000.0,51000.0,9.8,22.8289
2024-09-02,"Tamil Nadu",Erode,"Gobichettipalayam(Uzhavar Sandhai )",Onion,Bellary,500.0,55800.0,55800.0,6976.67,699.81,22.7431
2024-12-04,Kerala,Thiruvananthapuram,Pothencode,Onion,Other,55250.0,55300.0,55280.0,49306.67,12.11,22.52
2024-11-30,Kerala,Thiruvananthapuram,Pothencode,Onion,Other,55250.0,55300.0,55280.0,47171.67,17.19,22.52
2024-11-27,Kerala,Thiruvananthapuram,Pothencode,Onion,Other,55250.0,55300.0,55280.0,45438.26,21.66,22.52
2024-11-23,Kerala,Thiruvananthapuram,Pothencode,Onion,Other,55250.0,55300.0,55280.0,43090.43,28.29,22.52
2023-06-30,Meghalaya,"East Khasi Hills",Sohra,Potato,Other,36000.0,40000.0,38000.0,36666.67,3.64,22.4813
2024-11-21,Kerala,Thiruvananthapuram,Pothencode,Onion,Other,54000.0,54080.0,54040.0,41525.22,30.14,21.9881
2024-11-18,Kerala,Thiruvananthapuram,Pothencode,Onion,Other,54000.0,54080.0,54040.0,38307.83,41.07,21.9881
2024-11-14,Kerala,Thiruvananthapuram,Pothencode,Onion,Other,54000.0,54080.0,54040.0,35915.2,50.47,21.9881
